Index,Pokemon,HP,Atk,Def,SpAtk,SpDef,Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Color
1,Bulbasaur,45,49,49,65,65,45,318,Grass,Poison,Overgrow,,Chlorophyll,Green
2,Ivysaur,60,62,63,80,80,60,405,Grass,Poison,Overgrow,,Chlorophyll,Green
3,Venusaur,80,82,83,100,100,80,525,Grass,Poison,Overgrow,,Chlorophyll,Green
4,Charmander,39,52,43,60,50,65,309,Fire,,Blaze,,Solar Power,Red
5,Charmeleon,58,64,58,80,65,80,405,Fire,,Blaze,,Solar Power,Red
6,Charizard,78,84,78,109,85,100,534,Fire,Flying,Blaze,,Solar Power,Red
7,Squirtle,44,48,65,60,54,43,314,Water,,Torrent,,Rain Dish,Blue
8,Wartortle,59,63,80,65,80,58,405,Water,,Torrent,,Rain Dish,Blue
9,Blastoise,79,83,100,85,105,78,530,Water,,Torrent,,Rain Dish,Blue
10,Caterpie,45,30,35,20,20,45,195,Bug,,Shield Dust,,Run Away,Green
11,Metapod,50,20,55,25,25,30,205,Bug,,Shed Skin,,,Green
12,Butterfree,60,45,50,80,80,70,385,Bug,Flying,Compoundeyes,,Tinted Lens,White
13,Weedle,40,35,30,20,20,50,195,Bug,Poison,Shield Dust,,Run Away,Brown
14,Kakuna,45,25,50,25,25,35,205,Bug,Poison,Shed Skin,,,Yellow
15,Beedrill,65,80,40,40,80,75,380,Bug,Poison,Swarm,,Sniper,Yellow
16,Pidgey,40,45,40,35,35,56,251,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown
17,Pidgeotto,63,60,55,50,50,71,349,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown
18,Pidgeot,83,80,75,70,70,91,469,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown
19,Rattata,30,56,35,25,35,72,253,Normal,,Run Away,Guts,Hustle,Purple
20,Raticate,55,81,60,50,70,97,413,Normal,,Run Away,Guts,Hustle,Brown
21,Spearow,40,60,30,31,31,70,262,Normal,Flying,Keen Eye,,Sniper,Brown
22,Fearow,65,90,65,61,61,100,442,Normal,Flying,Keen Eye,,Sniper,Brown
23,Ekans,30,60,44,40,54,55,283,Poison,,Intimidate,Shed Skin,Unnerve,Purple
24,Arbok,60,85,69,65,79,80,438,Poison,,Intimidate,Shed Skin,Unnerve,Purple
26,Pikachu,35,55,30,50,40,90,300,Electric,,Static,,Lightningrod,Yellow
27,Raichu,60,90,55,90,80,100,475,Electric,,Static,,Lightningrod,Yellow
28,Sandshrew,50,75,85,20,30,40,300,Ground,,Sand Veil,,Sand Rush,Yellow
29,Sandslash,75,100,110,45,55,65,450,Ground,,Sand Veil,,Sand Rush,Yellow
30,Nidoran♀,55,47,52,40,40,41,275,Poison,,Poison Point,Rivalry,Hustle,Blue
31,Nidorina,70,62,67,55,55,56,365,Poison,,Poison Point,Rivalry,Hustle,Blue
32,Nidoqueen,90,82,87,75,85,76,495,Poison,Ground,Poison Point,Rivalry,Sheer Force,Blue
33,Nidoran♂,46,57,40,40,40,50,273,Poison,,Poison Point,Rivalry,Hustle,Purple
34,Nidorino,61,72,57,55,55,65,365,Poison,,Poison Point,Rivalry,Hustle,Purple
35,Nidoking,81,92,77,85,75,85,495,Poison,Ground,Poison Point,Rivalry,Sheer Force,Purple
37,Clefairy,70,45,48,60,65,35,323,Fairy,,Cute Charm,Magic Guard,Friend Guard,Pink
38,Clefable,95,70,73,85,90,60,473,Fairy,,Cute Charm,Magic Guard,Unaware,Pink
39,Vulpix,38,41,40,50,65,65,299,Fire,,Flash Fire,,Drought,Brown
40,Ninetales,73,76,75,81,100,100,505,Fire,,Flash Fire,,Drought,Yellow
42,Jigglypuff,115,45,20,45,25,20,270,Normal,Fairy,Cute Charm,,Friend Guard,Pink
43,Wigglytuff,140,70,45,75,50,45,425,Normal,Fairy,Cute Charm,,Frisk,Pink
44,Zubat,40,45,35,30,40,55,245,Poison,Flying,Inner Focus,,Infiltrator,Purple
45,Golbat,75,80,70,65,75,90,455,Poison,Flying,Inner Focus,,Infiltrator,Purple
47,Oddish,45,50,55,75,65,30,320,Grass,Poison,Chlorophyll,,Run Away,Blue
48,Gloom,60,65,70,85,75,40,395,Grass,Poison,Chlorophyll,,Stench,Blue
49,Vileplume,75,80,85,100,90,50,480,Grass,Poison,Chlorophyll,,Effect Spore,Red
51,Paras,35,70,55,45,55,25,285,Bug,Grass,Effect Spore,Dry Skin,Damp,Red
52,Parasect,60,95,80,60,80,30,405,Bug,Grass,Effect Spore,Dry Skin,Damp,Red
53,Venonat,60,55,50,40,55,45,305,Bug,Poison,Compoundeyes,Tinted Lens,Run Away,Purple
54,Venomoth,70,65,60,90,75,90,450,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Purple
55,Diglett,10,55,25,35,45,95,265,Ground,,Sand Veil,Arena Trap,Sand Force,Brown
56,Dugtrio,35,80,50,50,70,120,405,Ground,,Sand Veil,Arena Trap,Sand Force,Brown
57,Meowth,40,45,35,40,40,90,290,Normal,,Pickup,Technician,Unnerve,Yellow
58,Persian,65,70,60,65,65,115,440,Normal,,Limber,Technician,Unnerve,Yellow
59,Psyduck,50,52,48,65,50,55,320,Water,,Damp,Cloud Nine,Swift Swim,Yellow
60,Golduck,80,82,78,95,80,85,500,Water,,Damp,Cloud Nine,Swift Swim,Blue
61,Mankey,40,80,35,35,45,70,305,Fighting,,Vital Spirit,Anger Point,Defiant,Brown
62,Primeape,65,105,60,60,70,95,455,Fighting,,Vital Spirit,Anger Point,Defiant,Brown
63,Growlithe,55,70,45,70,50,60,350,Fire,,Intimidate,Flash Fire,Justified,Brown
64,Arcanine,90,110,80,100,80,95,555,Fire,,Intimidate,Flash Fire,Justified,Brown
65,Poliwag,40,50,40,40,40,90,300,Water,,Water Absorb,Damp,Swift Swim,Blue
66,Poliwhirl,65,65,65,50,50,90,385,Water,,Water Absorb,Damp,Swift Swim,Blue
67,Poliwrath,90,85,95,70,90,70,500,Water,Fighting,Water Absorb,Damp,Swift Swim,Blue
69,Abra,25,20,15,105,55,90,310,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown
70,Kadabra,40,35,30,120,70,105,400,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown
71,Alakazam,55,50,45,135,85,120,490,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown
72,Machop,70,80,50,35,35,35,305,Fighting,,Guts,No Guard,Steadfast,Gray
73,Machoke,80,100,70,50,60,45,405,Fighting,,Guts,No Guard,Steadfast,Gray
74,Machamp,90,130,80,65,85,55,505,Fighting,,Guts,No Guard,Steadfast,Gray
75,Bellsprout,50,75,35,70,30,40,300,Grass,Poison,Chlorophyll,,Gluttony,Green
76,Weepinbell,65,90,50,85,45,55,390,Grass,Poison,Chlorophyll,,Gluttony,Green
77,Victreebel,80,105,65,100,60,70,480,Grass,Poison,Chlorophyll,,Gluttony,Green
78,Tentacool,40,40,35,50,100,70,335,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue
79,Tentacruel,80,70,65,80,120,100,515,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue
80,Geodude,40,80,100,30,30,20,300,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown
81,Graveler,55,95,115,45,45,35,390,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown
82,Golem,80,110,130,55,65,45,485,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown
83,Ponyta,50,85,55,65,65,90,410,Fire,,Run Away,Flash Fire,Flame Body,Yellow
84,Rapidash,65,100,70,80,80,105,500,Fire,,Run Away,Flash Fire,Flame Body,Yellow
85,Slowpoke,90,65,65,40,40,15,315,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink
86,Slowbro,95,75,110,100,80,30,490,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink
88,Magnemite,25,35,70,95,55,45,325,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray
89,Magneton,50,60,95,120,70,70,465,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray
91,Farfetch'd,52,65,55,58,62,60,352,Normal,Flying,Keen Eye,Inner Focus,Defiant,Brown
92,Doduo,35,85,45,35,35,75,310,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown
93,Dodrio,60,110,70,60,60,100,460,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown
94,Seel,65,45,55,45,70,45,325,Water,,Thick Fat,Hydration,Ice Body,White
95,Dewgong,90,70,80,70,95,70,475,Water,Ice,Thick Fat,Hydration,Ice Body,White
96,Grimer,80,80,50,40,50,25,325,Poison,,Stench,Sticky Hold,Poison Touch,Purple
97,Muk,105,105,75,65,100,50,500,Poison,,Stench,Sticky Hold,Poison Touch,Purple
